Player Name,Team,7M Goal,7M Shot,6M Goal,6M Shot,9M Goal,9M Shot,Wing Goal,Wing Shot,Pivot Goal,Pivot Shot,Fastbreak Goal,Fastbreak Shot
Mellegard Emil,WET,0,0,6,10,4,6,38,57,5,5,33,41
Mensing Hans Aaron,SGF,0,0,12,20,27,59,2,2,0,0,0,0
Mertens Lukas,SCM,0,0,13,17,1,1,57,91,1,2,35,37
Meschke Benjamin,TVB,0,0,0,0,0,1,0,0,1,2,0,0
Metzner Antonio,HCE,0,0,34,60,34,84,0,1,1,1,3,4
Meyer-Siebert Julius,LEI,0,0,1,2,1,4,0,0,0,0,0,0
Meyer-Siebert Julius,SGF,0,0,0,0,2,3,0,0,0,0,0,0
Michalczik Marian,BER,0,0,10,13,3,7,0,0,0,0,4,4
Michalski Niklas,RNL,0,0,0,0,0,0,2,3,0,1,0,1
Milosevic Alen,LEI,0,0,3,6,0,1,0,0,35,42,0,0
Mirkulovski Filip,WET,0,0,11,18,3,7,0,0,1,1,0,0
More David,RNL,0,0,0,0,0,0,8,13,0,0,1,1
Morros de Argila Viran,BER,0,0,0,0,1,1,0,0,0,0,0,0
Mortensen Casper Ulrich,HSV,86,110,5,11,9,17,46,73,8,8,26,32
Most Alex Wolfgang,HSV,0,0,0,0,0,0,0,0,0,0,0,0
Mrakovcic Luka,NLB,0,0,36,57,12,33,0,0,2,3,2,4
Muller Jerome,TVB,0,0,43,58,25,77,1,3,1,1,4,5
Muller Michael,SGF,0,0,0,0,0,0,0,0,0,0,0,0
Mundus Marvin,NLB,0,0,11,18,3,10,3,5,2,2,0,0
Munzinger Luca,HBW,0,0,0,0,0,2,0,0,0,0,0,0
Musche Matthias,SCM,0,0,3,3,0,1,10,17,1,2,7,7
Myrhol Bjarte Hakon,THW,0,0,0,0,0,0,0,0,2,5,0,0
Neudeck Oskar,FAG,0,0,6,9,1,5,1,1,0,0,0,0
Nicolaus Fynn-Luca,TVB,0,0,1,2,0,0,0,0,17,22,1,1
Niemann Max,HSV,0,0,4,4,0,2,0,0,0,0,0,0
Nikolaisen Svegard Tom Kare,BHC,0,0,1,2,0,1,0,0,55,69,2,3
Nilsson Lukas,RNL,0,0,27,43,23,48,0,0,0,0,2,2
Nissen Marek,NLB,0,0,24,31,13,39,0,0,1,1,0,0
Nothdurft Tim,HBW,0,0,1,3,1,1,55,78,3,3,25,37
Novak Domen,WET,1,2,3,4,0,0,45,68,1,3,11,15
Nyfjall Adam,WET,0,0,4,9,0,0,1,1,68,89,19,21
O'Sullivan Christian,SCM,0,0,19,24,9,13,0,0,0,0,18,18
Oehlrich Thomas,BER,0,0,0,0,0,0,0,0,0,0,0,0
Oetjen Thore,TBV,0,0,0,0,0,0,0,0,0,0,0,0
Okpara Maduwuike,WET,0,0,0,0,0,0,0,0,0,0,0,0
Olsson Hampus,HCE,4,7,1,2,1,1,20,29,5,8,12,12
Oscar van Oettingen,SGF,0,0,3,3,0,1,0,0,0,0,0,0
Ossenkopp Lukas,HSV,0,0,6,8,11,20,0,0,0,0,0,0
Overby Petter,HCE,0,0,1,2,0,0,0,0,14,17,9,10
Patrail Mait,RNL,0,0,2,3,1,1,0,0,0,0,0,0
Pavlovic Domagoj,MTM,0,0,27,36,15,21,0,0,5,6,0,0
Pekeler Hendrik,THW,0,0,6,9,0,0,0,0,43,60,7,8
Pereira Francisco,BER,0,0,0,0,0,0,0,0,0,0,0,0
Peshevski Zarko,TVB,0,0,3,10,0,0,0,0,76,107,0,0
Peter Staffan,LEI,0,0,0,0,0,0,0,0,0,0,0,0
Petersson Alexander,MTM,0,0,14,23,5,22,4,4,4,4,7,8
Petreikis Benas,NLB,1,1,55,89,13,44,0,1,2,2,0,0
Petrovsky Leos,NLB,0,0,2,6,0,1,0,0,34,43,0,0
Pettersson Daniel,SCM,0,0,1,2,0,1,41,57,1,2,8,8
Pevnov Evgeni,HAN,0,0,1,3,0,0,0,0,36,44,1,1
Pfattheicher Sascha,TVB,0,0,2,3,0,1,56,81,6,7,24,29
Pieczkowski Niclas,GWD,0,0,46,69,30,72,1,1,3,5,5,12
Potzkai Florian,MTM,0,0,0,0,0,0,0,0,0,0,0,0
Preuss Moritz,SCM,0,0,0,0,0,0,0,0,5,6,0,0
Pusica Miljan,GWD,0,0,0,0,0,0,0,0,0,0,0,0
Reichmann Tobias,MTM,51,57,2,3,0,1,16,31,2,3,5,6
Reinkind Harald,THW,1,1,48,69,62,125,0,0,1,1,4,5
Reitemann Michel,TBV,0,0,1,3,0,0,0,0,14,19,0,0
Remke Gregor,LEI,0,0,15,21,6,18,0,0,1,1,1,1
Richtzenhain Justus Nicolas,GWD,0,0,1,2,0,0,0,0,18,23,1,2
Rod Magnus,SGF,0,0,6,7,4,9,0,0,0,0,1,1
Roscheck Bastian,HAN,0,0,0,1,0,0,0,0,2,4,2,3
Rothlisberger Samuel,TVB,0,0,0,1,0,1,0,1,18,24,0,1
Rubin Lenny,WET,0,0,63,98,63,160,1,3,1,2,20,21
Ruddat Elias,SCM,0,0,0,0,0,0,0,0,0,0,0,0
Runarsson Andri Mar,TVB,0,0,12,20,10,16,0,0,1,1,4,6
Sagosen Sander,THW,13,15,60,82,47,104,0,1,0,1,1,2
Sahin Rohat,MTM,0,0,0,0,0,0,0,0,0,0,0,0
Sajenev Mika Laurin,LEI,0,0,0,0,0,0,0,0,0,0,0,0
Sarac Josip,FAG,0,0,13,18,3,8,0,0,1,1,0,0
Saueressig Lukas,HBW,0,0,16,23,7,16,0,0,0,0,0,0
Sauter Moritz,BER,0,0,2,3,1,1,0,0,0,0,0,0
Schagen Bobby,TBV,1,2,20,28,4,10,25,36,1,1,3,3
Schiller Marcel,FAG,90,116,7,10,0,1,63,99,8,9,15,19
Schimmelbauer Tobias,HSV,0,0,1,1,0,0,14,17,1,1,4,4
Schluroff Miro,GWD,0,0,24,39,41,77,0,0,0,0,1,2
Schmid Andre,RNL,52,65,43,77,41,105,1,2,3,3,7,9
Schmidt David,BHC,0,0,52,83,38,103,0,0,0,0,0,0
Schmitz Tobias,BHC,0,0,1,1,0,0,1,4,0,0,1,1
Schnitter Jannis,HSV,0,0,0,0,0,0,0,0,0,0,0,0
