Player Name;Team Position;Position;7M Save;6M Save;9M Save;Wing Save;Pivot Save;Fastbreak Save
Buric Benjamin;SGF;GK;2;4;5;1;0;0
Mrkva Tomas;BHC;GK;0;3;1;2;0;1
Rudeck Christopher;BHC;GK;0;0;0;0;0;0
Møller Kevin;SGF;GK;0;0;0;0;0;0
Landin Jacobsen Niklas;THW;GK;1;3;3;5;1;0
Vortmann Jens;HSV;GK;0;2;2;1;2;0
Bitter Johannes;HSV;GK;0;0;1;1;0;0
Quenstedt Dario;THW;GK;0;0;1;0;0;0
Zecher Finn;TBV;GK;1;3;7;2;0;0
Green Krejberg Jannick;SCM;GK;0;2;3;4;0;0
Jensen Mike;SCM;GK;1;0;0;0;0;0
Muhlenstadt Timon;TBV;GK;0;0;0;0;0;0
Lesjak Urban;HAN;GK;1;6;1;1;2;0
Rezar Aljosa;NLB;GK;2;3;0;5;0;0
Ebner Domenico;HAN;GK;1;0;0;0;0;0
Asheim Havard;NLB;GK;0;0;0;0;0;0
Simic Nebojsa;MTM;GK;0;6;5;1;2;1
Klimpke Till;WET;GK;0;4;2;1;0;0
Suljakovic Anadin;WET;GK;1;1;0;0;0;0
Heinevetter Silvio;MTM;GK;0;0;0;0;0;0
Kastelic Urh;FAG;GK;1;2;6;2;1;1
Hassferter Michael;HCE;GK;0;1;1;0;1;0
Ziemer Martin;HCE;GK;0;1;0;0;0;0
Rebmann Daniel;FAG;GK;0;0;0;1;0;0
Ziemer Martin;HCE;GK;0;0;8;1;1;1
Klimpke Till;WET;GK;0;0;5;1;1;0
